sermon_id,title,subtitle,speaker,speaker_id,date,publish_date,bible_text,event_type,series,series_id,duration_seconds,download_count,more_info,language,keywords,has_audio,has_video,broadcaster_id,broadcaster_name,broadcaster_location,broadcaster_denomination,broadcaster_minister
63261822225409,Episode 106 Basic Christianity: Intro Ephesians 4:17-24,Anchored in the Word Season 5,Joel Porcher,16596,2026-06-03,2026-06-03,Ephesians 4:17-24,Podcast,Anchored in the Word Season 5,212860,428,3,Anchored in the Word Morning Reflection: Season 5 Episode 106 Basic Christianity: Intro Ephesians 4:17-24 #morningreflections #churchlife #pastoralcare #growth #basics,en,morningreflections churchlife pastoralcare growth basics,True,True,anchorsermons,Anchor Baptist Church,"Millersville, Maryland",Independent Baptist,Pastor Joel Porcher
612618141151,Mercy & Missions,Romans Devotionals 2026,Rev. Jason Van Bemmel,5170,2026-06-02,2026-06-02,Romans 15,Devotional,Romans Devotionals 2026,216682,1199,13,"Welcome to Exploring Romans! In this episode, Pastor Jason Van Bemmel of Forest Hill Presbyterian Church walks us through the powerful message of Romans Chapter 15.

In this study, we cover:

Supporting the Weak: The biblical mandate for ""strong"" believers to bear with the weak, contrasting modern culture's heavy focus on ""self-care"" with the Christian call to selflessly build others up.

Church Unity: How Christ's sacrifice fulfilled God's promises to the Jewish patriarchs while simultaneously bringing hope to the Gentiles, uniting them into one unified body.

Missions and Mercy: A look at the Apostle Paul's foundational ministry from Jerusalem to Illyricum, his future ambitions to preach in Spain, and his immediate mission to deliver financial aid to struggling saints in Jerusalem.

This devotional was originally recorded as part of Forest Hill's three-year journey through the Word of God, ""Walking with Jesus through the Bible"" (2022–2024).

🌐 Learn more about our church: 
✉️ Questions or feedback? Email Pastor Jason at: Pastor@ForestHillPCA.org",en,,True,True,foresthillpca,Forest Hill Presbyterian Church,"Forest Hill, Maryland",PCA,Jason A Van Bemmel
6126242165687,Not Based on Works,Heidelberg Catechism Devos,Rev. Jason Van Bemmel,5170,2026-06-01,2026-06-01,,Devotional,Heidelberg Catechism Devos,212667,909,17,"Grace to Gratitude: Why Our Good Works Aren't Enough | Heidelberg Catechism Week 22, Day 1, Questions 62-63

Welcome to Week 22 of the Heidelberg Catechism Devotionals with Pastor Jason Van Bemmel from Forest Hill Presbyterian Church. This week, we pivot from the topic of God's grace to our response of gratitude, specifically exploring Questions 62 and 63.

Join us as we explore why our good works—even our best efforts—cannot serve as our righteousness before God. We will dive into Scripture (including Galatians, James, Isaiah, and Luke) to understand why salvation is through faith alone and how any reward for our works is simply a gift of God's amazing grace.",en,,True,True,foresthillpca,Forest Hill Presbyterian Church,"Forest Hill, Maryland",PCA,Jason A Van Bemmel
612601427096,What Is Ministry,The Joy of Serving Jesus,Dr. Dennis Leatherman,10920,2026-05-31,2026-06-01,Ephesians 2:10,Sunday - PM,The Joy of Serving Jesus,218388,2226,11,,en,,True,False,mlibc,Mountain Lake Independent Baptist Church,"Oakland, Maryland",Independent Baptist,Dr. Dennis Leatherman
52926040426145,The Morning after Mourning,,Rev. Dr. S. A. Fix,17253,2026-05-31,2026-06-02,Psalm 30,Sunday - PM,,,2400,2,"Sunday, May 31, 2026
Evening Worship Service
Pastor Fix",en,,True,True,rpcbowie,Reformed Presbyterian Church of Bowie,"Bowie, Maryland",PCA,Rev. Dr. S. A. Fix
6426134214490,Taming the Tongue,,Matt Fortunato,45672,2026-05-31,2026-06-04,James 3:1-12,Sunday - PM,,,2970,4,,en,,True,True,northharford,North Harford Baptist Church,"Jarrettsville, Maryland",Baptist,Matt Fortunato
61261324545201,Be Strong in the Lord,Non-Series,Tim Leaman,10789,2026-05-31,2026-06-01,Ephesians 6:10,Sunday - PM,Non-Series,57917,1332,11,,en,Graduation,True,False,pastorleaman,Calvary Baptist Church,"Westminster, Maryland",Independent Baptist,Tim Leaman
66262038247385,A Clean Heart,,Pastor Caleb E. Bottrell,19107,2026-05-31,2026-06-06,Psalm 51:10,Sunday - PM,,,1479,1,"The sermon centers on the necessity of a clean heart before God, drawing from Psalm 51 and other biblical passages to emphasize that true holiness begins inwardly, not outwardly. It highlights the heart's deceitfulness and inherent wickedness, as revealed in Jeremiah 17:9 and Matthew 15:18–19, showing how sinful thoughts and desires originate within and corrupt behavior. The message underscores that no one can purify their own heart—only God can create it anew—illustrating David's repentant cry for divine renewal and the transformative power of genuine confession. It affirms that a clean heart is essential for communion with God, leads to spiritual joy, and unlocks divine blessings, urging believers to examine themselves and seek God's cleansing with humility and honesty. Ultimately, the sermon presents a hopeful call to repentance, rooted in God's grace and willingness to restore those who desire purity.",en,,True,True,huntvalleybaptist,Hunt Valley Baptist Church,"Hunt Valley, MD",Baptist,Pastor Caleb E. Bottrell
64261632426180,What Happened at Pentecost? II,,Dr. John McKnight,12235,2026-05-31,2026-06-05,Acts 2,Sunday - AM,,,2490,1,,en,Pentecost HolySpirit Sabbath inspiration,True,True,emc,Reformation Bible Church,"Darlington, Maryland",ACCC,Adam Eshleman
61261946261080,The Tragedy of Half-Hearted Worship,,"Jerry R. Harmon, Ph.D",10619,2026-05-31,2026-06-01,Malachi 1,Sunday - AM,,,1817,9,,en,sermon Grace Bible Baptist Church The Tragedy of Half-Hearted Worship Malachi,True,True,jharmon,Grace Bible Baptist Church,"Baltimore, Maryland",Independent Baptist,"Jerry R. Harmon, Ph.D"
53126151237910,The New Exodus,The Letter to the Colossians,Jesse Crutchley,22467,2026-05-31,2026-06-01,Colossians 1:9-14,Sunday - AM,The Letter to the Colossians,218114,2409,15,"Join us Sunday mornings at 11am as Pastor Jesse preaches through Paul's letter to the Colossians.

 Severn Run Evangelical Presbyterian Church is a congregation of the Presbyterian Church in America (PCA), and is a church devoted to the pursuit of Scripture, Prayer, Fellowship, and Worship as an effective and ultimately victorious means of reaching our community for Christ.",en,,True,True,srepc,Severn Run EP Church (PCA),"Millersville, Maryland",PCA,Jesse Crutchley
525262057462254,Sinner and Saint,Galatians,Chris Calvi,52767,2026-05-31,2026-06-02,Galatians 5:16-18,Sunday - AM,Galatians,213650,1910,3,"Sunday, May 31, 2026
Morning Worship Service
Pastor Chris",en,,True,True,rpcbowie,Reformed Presbyterian Church of Bowie,"Bowie, Maryland",PCA,Rev. Dr. S. A. Fix
53126160363344,Repeat Offender,Genesis,Sung Cho,29103,2026-05-31,2026-05-31,Genesis 20,Sunday - AM,Genesis,200422,2073,22,,en,,True,False,faithbiblemd,Faith Bible Church,"Elkridge, Maryland",Bible,Sung Cho
6126153591536,Let not your heart be troubled,,Pastor Jamey D. Grooms,15087,2026-05-31,2026-06-01,John 14:1-6,Sunday - AM,,,2472,13,God's Word gives great reasons for our hearts to not be troubled.,en,,True,False,maranathabc,Maranatha Baptist Church,"Elkton, Maryland",Independent Baptist,Pastor Jamey D. Grooms
6126131859111,Jesus Prepares His Disciples,Gospel of John,Tim Leaman,10789,2026-05-31,2026-06-01,John 13:31-38,Sunday - AM,Gospel of John,189434,2998,4,,en,Gospel John,True,False,pastorleaman,Calvary Baptist Church,"Westminster, Maryland",Independent Baptist,Tim Leaman
53126192416567,Be Overwhelmed,,Robert Luff,20869,2026-05-31,2026-05-31,Ezekiel 1,Sunday - AM,,,3340,1,"In Ezekiel 1, the Lord draws near to His prophet in an astounding way that perhaps unsettles the reader. This message seeks to help us draw near to our God who is so very different from us, and who yet desires to bring us near by the blood of His Son.",en,Holyholyholy Holiness Gospel Attributes,True,False,graceisus,Grace Baptist Church,"Laurel, Maryland",Baptist,Robert Luff
531261612256921,Babes in Christ,,Dr. Dennis Leatherman,10920,2026-05-31,2026-05-31,1 Corinthians 3:1-8,Sunday - AM,,,2697,7,,en,,True,False,mlibc,Mountain Lake Independent Baptist Church,"Oakland, Maryland",Independent Baptist,Dr. Dennis Leatherman
6426132495371,"05 God's Justice, part 1",The Law of God,Anthony Wilson,62226,2026-05-31,2026-06-04,Exodus 20:13-14,Sunday - AM,The Law of God,213852,2697,1,,en,,True,True,northharford,North Harford Baptist Church,"Jarrettsville, Maryland",Baptist,Matt Fortunato
66262028202512,Your Phone is Changing You,,Stephen Gunzenhauser,54160,2026-05-31,2026-06-06,Ephesians 5:15-16; Mark 12:30,Sunday School,,,2472,12,,en,,True,True,huntvalleybaptist,Hunt Valley Baptist Church,"Hunt Valley, MD",Baptist,Pastor Caleb E. Bottrell
66262056215112,When Expectations Become Obstacles,,Pastor Caleb E. Bottrell,19107,2026-05-31,2026-06-06,2 Kings 5:1-19,Sunday Service,,,2497,8,"The sermon centers on the destructive power of unbiblical expectations, using Naaman's reaction to Elisha's simple healing instruction as a pivotal illustration. It argues that when individuals impose unrealistic or self-centered expectations on God, others, or life circumstances, they become blind to divine provision, lose joy, and foster resentment, frustration, and relational damage. The message emphasizes that true gratitude and spiritual freedom come not from demanding life conform to our desires, but from surrendering expectations and embracing God's sovereign, often unexpected, ways of blessing. Through personal anecdotes, cultural critiques, and biblical examples—from the Emmaus disciples to Stephen Hawking—the preacher calls believers to humility, gratitude, and a radical release of expectations in order to experience God's abundant life and restore joy in relationships, worship, and daily living.",en,,True,False,huntvalleybaptist,Hunt Valley Baptist Church,"Hunt Valley, MD",Baptist,Pastor Caleb E. Bottrell
531261754463953,What Saints Can Expect At Death,,Vince Kluth,26106,2026-05-31,2026-05-31,Colossians 3:1-2,Sunday Service,,,2611,2,"When the spirit leaves the body, the believer can look forward to ten things: you will be free from pain, see things previously unseen, be greeted by a visitation party, have an out-of-body experience, have safe transportation, will hear exquisite music, be free from time, enter a home in a righteous nation, enjoy a honorary celebration, and will fully experience the love of Jesus.",en,,True,True,missionbible,Mission Bible Church,"Derwood, Maryland",Bible,Pastor Joe McKnight
6126235305016,"The Time for Glory Has Come, Part 6",Discover Hope,Gabe Powell,30586,2026-05-31,2026-06-02,John 12:20-36,Sunday Service,Discover Hope,204490,3690,24,,en,,True,False,hopebible,Hope Bible Church,"Columbia, Maryland",,
6126191635558,"The Precious Wounds of Christ, Isaiah 53:5",Isaiah ,Charles Fiore,58346,2026-05-31,2026-06-01,Isaiah 53:5,Sunday Service,Isaiah ,191879,2226,,,en,,True,False,charlesfiore,Nelsons Memorial Church,"Hebron, Maryland",,Charles Fiore
531261621251728,The Fire of the Lord,Who is Elijah,Pastor J.D. Martin,32345,2026-05-31,2026-05-31,2 Kings 1:5-18,Sunday Service,Who is Elijah,215655,2788,9,Ahaziah hears the Word of the Lord and tries to kill the Lord's Messenger,en,,True,False,jessup,Jessup Baptist Church,"Jessup, Maryland",Baptist,Pastor J.D. Martin
531261456316644,"Sunday School - May 31st, 2026",John,Tim Everett,20545,2026-05-31,2026-05-31,John 17:24-26,Sunday School,John,208695,2909,10,,en,pilgrim pilgrimpbc presbyterian mission bible sundayschool love Christian BPC believe salvation Gospel God Faith Jesus Everett Grace John Holy Spirit,True,False,pilgrimpresb,Pilgrim Presbyterian Bible Church,"Kingsville, Maryland",Bible Presbyterian,Elder Tim Everett
672625621108,Paul's 2nd & 3rd Missionary Journeys Pt 3 Wk 13,Paul's 2nd & 3rd Journey,Christopher Greene,58586,2026-05-31,2026-06-07,,Sunday School,Paul's 2nd & 3rd Journey,208561,3127,3,,en,,True,False,hopebible,Hope Bible Church,"Columbia, Maryland",,
53126202345303,Mary's beautiful act of worship,John,Jon Zeigler,14308,2026-05-31,2026-05-31,John 12:1-11,Sunday Service,John,197167,2751,3,,en,,True,True,ferndalechurch,Ferndale Baptist Church,"Oakland, Maryland",Southern Baptist,Jon Zeigler
64261987318,"Marriage, Divorce, and Remarriage - Lesson 13","Marriage, Divorce, Remarriage",Gabe Powell,30586,2026-05-31,2026-06-04,,Sunday School,"Marriage, Divorce, Remarriage",215132,3727,7,,en,,True,False,hopebible,Hope Bible Church,"Columbia, Maryland",,
531261547365916,Loving God from the Heart,,Cyril Chavis Jr,53609,2026-05-31,2026-05-31,,Sunday Service,,,1862,9,Exodus 20:7,en,,True,True,christreformedpca,Christ Reformed Presbyterian Church-PCA,"Laurel, Maryland",PCA,Berdj Tchilinguirian
6526913211839,God's Will and Guidance Week 13,God’s Will and Guidance,Kerry Kane,51610,2026-05-31,2026-06-05,,Sunday School,God’s Will and Guidance,215128,2847,5,,en,,True,False,hopebible,Hope Bible Church,"Columbia, Maryland",,
531261710115335,God Works in the Life of Joseph – Part 4,"Genesis 12-50, 2026",Rob Thomson,57088,2026-05-31,2026-05-31,Genesis 37-50,Sunday School,"Genesis 12-50, 2026",215127,3959,7,,en,,True,False,hopebible,Hope Bible Church,"Columbia, Maryland",,
612624834372,Genuine Love for Neighbors,Romans,Rev. Jason Van Bemmel,5170,2026-05-31,2026-06-01,Romans 12:14-21,Sunday Service,Romans,208468,2846,11,"God calls us to a radically counter-cultural life of love for others. Will we answer the call? How? 

This sermon from Pastor Jason Van Bemmel on Romans 12:14-21 is challenging and compelling.",en,,True,True,foresthillpca,Forest Hill Presbyterian Church,"Forest Hill, Maryland",PCA,Jason A Van Bemmel
531261952413,Flee The Dangers Of Idolatry,1 Corinthians Series,Aaron Lira,32607,2026-05-31,2026-05-31,1 Corinthians 10:14-22,Sunday Service,1 Corinthians Series,208218,3041,5,"Sermon Idea: We must flee from idolatry because we have fellowship with God
through Christ, and because God is a jealous God.

Fallen Condition Focus: Just as a fly does not realize the danger of a venus fly
trap until it is too late, we also often don't realize the danger of idolatry until it is
too late. John Calvin is famous for saying, ""Our hearts are idol factories."" Yet the
Bible lays out the dangers of idolatry. Our passage challenges how idolatry
usurps Christian freedom, deceiving us about its consequences. It will also call us
to properly understand and respond to idolatry in a way that glorifies God. We
will see what that response is this morning.",en,,True,False,libertychurchpca,"Liberty Church, PCA","Owings Mills, Maryland",PCA,Aaron Lira
62261719505394,Ezekiel #30 - The New Land (Ezekiel 47:13-48:35,,Scott  Shaw,36247,2026-05-31,2026-06-02,Ezekiel 47:13-48:35,Sunday Service,,,1839,5,,en,,True,False,shoreharvest,Shore Harvest Presbyterian Church,"Easton, Maryland",PCA,Scott Shaw
531261752572754,Evangelism 101,,Anton Kolyabin,51579,2026-05-31,2026-05-31,,Sunday School,,,2364,4,What are the key points in evangelism? Anton brings a study on the fundamentals of evangelism with Scripture to back up every point.,en,,True,True,missionbible,Mission Bible Church,"Derwood, Maryland",Bible,Pastor Joe McKnight
53126156491508,Discipline Yourself for Godliness - 5/31/26,Disciplines for Godliness,Daron Lawing,74209,2026-05-31,2026-05-31,,Teaching,Disciplines for Godliness,217108,3599,11,"Does godliness just happen? Shouldn't we just ""Let go, and let God?"" How do we avoid ""legalism"" while fulfilling the biblical mandate to ""make every effort…"" How do we understand the doctrines of grace as they apply, not merely to our justification, but also to our sanctification? How can we be truly godly?

In this 9-week Adult Sunday School course, we will explore Paul's admonition in 1 Timothy 4:7 for Timothy to ""discipline (train) himself for godliness."" We will be looking at the role of spiritual disciplines as practiced by the church throughout its history that have shaped the lives of the godly. The goal is to learn the paths of discipline and the ""habits of grace"" unto which godliness is the end that God might be glorified, honored, and enjoyed among us.

Severn Run Evangelical Presbyterian Church is a congregation of the Presbyterian Church in America (PCA), devoted to the pursuit of Scripture, prayer, fellowship, and worship as we seek to faithfully reach our community for Christ.",en,,True,True,srepc,Severn Run EP Church (PCA),"Millersville, Maryland",PCA,Jesse Crutchley
6426163450332,Consecrated Christian Liberty Summarized,1 Corinthians,Adam Eshleman,17611,2026-05-31,2026-06-05,1 Corinthians 10:31-11:1,Sunday Service,1 Corinthians,197494,2703,4,,en,ChristianLiberty edification,True,True,emc,Reformation Bible Church,"Darlington, Maryland",ACCC,Adam Eshleman
53126152827230,Being Ready: Thessalonians 5:1-11,1 & 2 Thessalonians,Doug Serven,8633,2026-05-31,2026-05-31,,Sunday Service,1 & 2 Thessalonians,216853,2394,1,,en,Thessalonians Encourage Rapture,True,True,grpca,Grace Reformed Presbyterian Church,"Relay, Maryland",PCA,"Doug Serven, Pastor"
52626193447063,An Ordination Sermon,,Pastor Robert Bjerkaas,13618,2026-05-31,2026-05-31,Acts 6:1-7,Sunday Service,,,1932,1,,en,,True,False,columbiapres,Columbia Presbyterian Church,"Columbia, Maryland",PCA,Pastor Robert Bjerkaas
417262129542121,2026-05-31 Is AI Holy?,The Faith Debate,Troy Skinner,54313,2026-05-31,2026-05-31,,Radio Broadcast,The Faith Debate,163388,1559,5,"Is AI Holy?
Faith Debate: Sunday, May 31st, 2026
(06/07/26 on 930 WFMD in Frederick, Maryland)

The history of early Fundamentalist history might be a warning against Christians avoiding the use of ""Artificial Intelligence"", so as to avoid repeating the strategic errors of the years between WWI and WWII. 100 years ago significant sectors of conservative Christianity responded to cultural and intellectual shifts by withdrawing from academia, media, and institutions - which ceded enormous cultural influence for generations.

How does the church preserve orthodoxy, without marginalizing the true faith, while still remaining involved in the formation of cultural institutions?

This edition of The Faith Debate is part two of a two-part discussion, as the show continues to peel back the layers of concern (and the layers of potential) with regard to the use of new technological tools.

Find episodes of The Faith Debate at WFMD.com, ChristianPodcastCommunity.org, and most podcast platforms (including SermonAudio and Odysee). 

Videos are made available at many of these same places (as well as on Rumble). Find links for all of these platforms at www.householdoffaithinchrist.com.

The panel:
Troy Skinner. Founder, Household of Faith in Christ
Daniel Razvi. Pastor, Conquered By Love Ministries
Andrew Rappaport. Founder, Striving for Eternity",en,FaithDebate HouseholdofFaithinChrist 930WFMD ArtificialIntelligence AI TroySkinner AndrewRappaport StrivingForEternity FrederickMaryland DanielRazvi,True,False,troyskinner,Household of Faith in Christ,"Frederick, Maryland",Independent Reformed,Troy Skinner
53126163296484,"""Taking a Stand""",Daniel,Pastor Ken Olsen,5581,2026-05-31,2026-05-31,Daniel 1:1-10,Sunday Service,Daniel,218345,1808,14,,en,pilgrimpbc bible mission kenolson pilgrim presbyterian olson salvation faith Jesus Christ love Father Family Grace Fallen word Daniel Stand,True,False,pilgrimpresb,Pilgrim Presbyterian Bible Church,"Kingsville, Maryland",Bible Presbyterian,Elder Tim Everett
529261511574113,Righteous by Faith,Heidelberg Catechism Devos,Rev. Jason Van Bemmel,5170,2026-05-29,2026-05-29,,Devotional,Heidelberg Catechism Devos,212667,712,11,"Pastor Jason Van Bemmel of Forest Hill Presbyterian Church leads a study on Question 61 of the Heidelberg Catechism. He explores the theological concept of imputed righteousness, explaining that believers are justified before God not because their faith itself has intrinsic saving merit, but because faith is the instrument used to lay hold of Jesus Christ's perfect satisfaction, righteousness, and holiness. The session includes an opening prayer, a reading of relevant scriptures (1 Corinthians 1, Romans 10), and concludes with a closing prayer and the hymn ""Jesus, Thy Blood and Righteousness.""",en,,True,True,foresthillpca,Forest Hill Presbyterian Church,"Forest Hill, Maryland",PCA,Jason A Van Bemmel
529261134445270,Episode 105 Shepherding the Church of God: Application Ephesians 4:11-16,Anchored in the Word Season 5,Joel Porcher,16596,2026-05-29,2026-05-29,Ephesians 4:11-16,Podcast,Anchored in the Word Season 5,212860,301,21,Anchored in the Word Morning Reflection: Season 5 Episode 105 Shepherding the Church of God: Application Ephesians 4:11-16 #morningreflections #churchlife #pastoralcare #growth #ministry,en,morningreflections churchlife pastoralcare growth ministry,True,True,anchorsermons,Anchor Baptist Church,"Millersville, Maryland",Independent Baptist,Pastor Joel Porcher
